,PassengerId,Survived,Pclass,Sex,Age
0,1,0,3,male,22
1,2,1,1,female,38
2,3,1,3,female,26
3,4,1,1,female,35
4,5,0,3,male,35
5,6,0,3,male,25
6,7,0,1,male,54
7,8,0,3,male,2
8,9,1,3,female,27
9,10,1,2,female,14
10,11,1,3,female,4
11,12,1,1,female,58
12,13,0,3,male,20
13,14,0,3,male,39
14,15,0,3,female,14
15,16,1,2,female,55
16,17,0,3,male,2
17,18,1,2,male,30
18,19,0,3,female,31
19,20,1,3,female,25
20,21,0,2,male,35
21,22,1,2,male,34
22,23,1,3,female,15
23,24,1,1,male,28
24,25,0,3,female,8
25,26,1,3,female,38
26,27,0,3,male,25
27,28,0,1,male,19
28,29,1,3,female,25
29,30,0,3,male,25
30,31,0,1,male,40
31,32,1,1,female,38
32,33,1,3,female,25
33,34,0,2,male,66
34,35,0,1,male,28
35,36,0,1,male,42
36,37,1,3,male,25
37,38,0,3,male,21
38,39,0,3,female,18
39,40,1,3,female,14
40,41,0,3,female,40
41,42,0,2,female,27
42,43,0,3,male,25
43,44,1,2,female,3
44,45,1,3,female,19
45,46,0,3,male,25
46,47,0,3,male,25
47,48,1,3,female,25
48,49,0,3,male,25
49,50,0,3,female,18
50,51,0,3,male,7
51,52,0,3,male,21
52,53,1,1,female,49
53,54,1,2,female,29
54,55,0,1,male,65
55,56,1,1,male,38
56,57,1,2,female,21
57,58,0,3,male,28.5
58,59,1,2,female,5
59,60,0,3,male,11
60,61,0,3,male,22
61,62,1,1,female,38
62,63,0,1,male,45
63,64,0,3,male,4
64,65,0,1,male,38
65,66,1,3,male,25
66,67,1,2,female,29
67,68,0,3,male,19
68,69,1,3,female,17
69,70,0,3,male,26
70,71,0,2,male,32
71,72,0,3,female,16
72,73,0,2,male,21
73,74,0,3,male,26
74,75,1,3,male,32
75,76,0,3,male,25
76,77,0,3,male,25
77,78,0,3,male,25
78,79,1,2,male,0.83
79,80,1,3,female,30
80,81,0,3,male,22
81,82,1,3,male,29
82,83,1,3,female,25
83,84,0,1,male,28
84,85,1,2,female,17
85,86,1,3,female,33
86,87,0,3,male,16
87,88,0,3,male,25
88,89,1,1,female,23
89,90,0,3,male,24
90,91,0,3,male,29
91,92,0,3,male,20
92,93,0,1,male,46
93,94,0,3,male,26
94,95,0,3,male,59
95,96,0,3,male,25
96,97,0,1,male,71
97,98,1,1,male,23
98,99,1,2,female,34
99,100,0,2,male,34
100,101,0,3,female,28
101,102,0,3,male,25
102,103,0,1,male,21
103,104,0,3,male,33
104,105,0,3,male,37
105,106,0,3,male,28
106,107,1,3,female,21
107,108,1,3,male,25
108,109,0,3,male,38
